PARTICIPANT_ID,EXPERIMENT_STARTED,PC_NAME,TRIALS,EMS_NUMBER,AGE,VISION,DEBRIEFING,RANK,IS_THREATENING,SPATIAL_FREQUENCY,CONTRAST-NORMALIZATION,IMG_NAME,MASK_NAME,KEY_PRESSED,CORRECT_ANSWER,REACTION_TIME_IN_MILLIES,EST_DISPLAY_TIME
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,31,non-threatening,NoFilter,contrast-normalized,vlieg 24_FS_norm,/mask010.png,l,True,236.169,500.524
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,32,threatening,LSF,no-normalization,Slang 4_LSF_unnorm,/mask008.png,s,True,430.29,500.489
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,33,threatening,NoFilter,contrast-normalized,Slang 27_FS_norm,/mask063.png,s,True,65.757,500.482
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,34,non-threatening,NoFilter,contrast-normalized,salamander 14_FS_norm,/mask030.png,l,True,561.401,499.618
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,35,threatening,NoFilter,contrast-normalized,Slang 8_FS_norm,/mask088.png,s,True,446.32,500.691
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,36,threatening,LSF,contrast-normalized,wesp 20_LSF_norm,/mask084.png,l,False,199.128,499.707
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,37,threatening,LSF,contrast-normalized,slang 31_LSF_norm,/mask042.png,s,True,410.289,500.38
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,38,threatening,HSF,contrast-normalized,slang 16_HSF_norm,/mask007.png,l,False,435.307,500.545
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,39,non-threatening,LSF,no-normalization,salamander 22_LSF_unnorm,/mask056.png,s,False,373.263,500.47
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,40,non-threatening,LSF,contrast-normalized,salamander 20_LSF_norm,/mask079.png,l,True,265.192,499.899
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,41,non-threatening,LSF,no-normalization,vlieg 28_LSF_unnorm,/mask013.png,l,True,305.228,499.14
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,42,non-threatening,LSF,no-normalization,salamander 4_LSF_unnorm,/mask093.png,l,True,384.273,500.509
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,43,non-threatening,NoFilter,contrast-normalized,salamander 11_FS_norm,/mask046.png,l,True,467.316,500.485
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,44,threatening,HSF,contrast-normalized,slang 29_HSF_norm,/mask004.png,l,False,460.343,499.931
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,45,threatening,LSF,no-normalization,wesp 6_LSF_unnorm,/mask080.png,s,True,580.41,500.146
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,46,non-threatening,LSF,no-normalization,salamander 15_LSF_unnorm,/mask022.png,l,True,176.112,500.132
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,47,non-threatening,LSF,contrast-normalized,salamander 17_LSF_norm,/mask051.png,l,True,243.172,499.727
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,48,threatening,LSF,contrast-normalized,Slang 10_LSF_norm,/mask039.png,l,False,245.161,499.02
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,49,non-threatening,LSF,contrast-normalized,vlieg 25_LSF_norm,/mask098.png,l,True,174.127,499.649
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,50,threatening,HSF,no-normalization,wesp 23_HSF_unnorm,/mask033.png,l,False,314.218,499.084
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,51,threatening,HSF,no-normalization,wesp 24_HSF_unnorm,/mask032.png,l,False,673.475,500.036
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,52,non-threatening,LSF,no-normalization,vlieg 23_LSF_unnorm,/mask000.png,l,True,289.209,499.817
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,53,threatening,HSF,contrast-normalized,slang 28_HSF_norm,/mask005.png,l,False,64.045,500.14
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,54,threatening,LSF,no-normalization,wesp 8_LSF_unnorm,/mask026.png,s,True,184.116,499.92
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,55,threatening,HSF,no-normalization,slang 30_HSF_unnorm,/mask082.png,s,True,52.037,499.638
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,56,non-threatening,NoFilter,contrast-normalized,vlieg 31_FS_norm,/mask074.png,l,True,460.342,499.483
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,57,non-threatening,HSF,no-normalization,vlieg 12_HSF_unnorm,/mask021.png,l,True,669.459,499.637
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,58,non-threatening,NoFilter,contrast-normalized,vlieg 19_FS_norm,/mask070.png,l,True,709.495,499.504
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,59,threatening,HSF,contrast-normalized,wesp 25_HSF_norm,/mask045.png,l,False,435.297,500.411
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,60,threatening,HSF,no-normalization,wesp 22_HSF_unnorm,/mask047.png,l,False,853.598,500.584
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,61,threatening,LSF,contrast-normalized,wesp 5_LSF_norm,/mask067.png,s,True,510.343,500.401
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,62,threatening,HSF,contrast-normalized,wesp 16_HSF_norm,/mask065.png,s,True,396.296,500.64
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,63,threatening,NoFilter,contrast-normalized,wesp 4_FS_norm,/mask087.png,s,True,286.203,500.296
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,64,non-threatening,HSF,no-normalization,vlieg 11_HSF_unnorm,/mask090.png,l,True,934.66,500.723
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,65,threatening,HSF,contrast-normalized,Slang 6_HSF_norm,/mask086.png,l,False,531.362,499.582
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,66,non-threatening,LSF,contrast-normalized,salamander 21_LSF_norm,/mask066.png,l,True,328.231,500.344
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,67,non-threatening,HSF,contrast-normalized,vlieg 3_HSF_norm,/mask096.png,l,True,63.044,499.435
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,68,non-threatening,HSF,contrast-normalized,vlieg 26_HSF_norm,/mask040.png,l,True,886.612,499.062
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,69,threatening,HSF,no-normalization,Slang 22_HSF_unnorm,/mask029.png,l,False,486.347,500.525
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,70,threatening,LSF,no-normalization,wesp 14_LSF_unnorm,/mask062.png,s,True,589.421,500.1
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,71,non-threatening,NoFilter,contrast-normalized,vlieg 22_FS_norm,/mask037.png,l,True,312.233,499.355
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,72,non-threatening,LSF,no-normalization,salamander 16_LSF_unnorm,/mask018.png,l,True,446.3,499.931
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,73,threatening,NoFilter,contrast-normalized,wesp 28_FS_norm,/mask058.png,l,False,343.23,499.882
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,74,threatening,NoFilter,contrast-normalized,wesp 7_FS_norm,/mask036.png,l,False,292.194,500.08
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,75,non-threatening,HSF,contrast-normalized,vlieg 5_HSF_norm,/mask077.png,s,False,555.397,499.566
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,76,threatening,LSF,contrast-normalized,hoornaar 2_LSF_norm,/mask041.png,l,False,312.207,500.924
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,77,non-threatening,HSF,no-normalization,salamander 3_HSF_unnorm,/mask068.png,l,True,487.343,500.447
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,78,non-threatening,LSF,contrast-normalized,vlieg 6_LSF_norm,/mask072.png,l,True,255.169,499.996
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,79,non-threatening,HSF,contrast-normalized,salamander 27_HSF_norm,/mask057.png,l,True,319.213,500.021
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,80,threatening,LSF,no-normalization,slang 13_LSF_unnorm,/mask050.png,l,False,102.071,499.953
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,81,threatening,HSF,no-normalization,slang 17_HSF_unnorm,/mask099.png,l,False,572.421,500.749
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,82,non-threatening,HSF,no-normalization,salamander 28_HSF_unnorm,/mask055.png,l,True,57.043,499.865
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,83,non-threatening,HSF,contrast-normalized,salamander 26_HSF_norm,/mask053.png,l,True,41.029,499.183
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,84,threatening,NoFilter,contrast-normalized,wesp 17_FS_norm,/mask024.png,l,False,930.643,499.4
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,85,threatening,HSF,no-normalization,hoornaar 1_HSF_unnorm,/mask034.png,s,True,184.128,499.981
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,86,non-threatening,LSF,contrast-normalized,vlieg 27_LSF_norm,/mask089.png,l,True,268.19,500.357
